fecha,tipo,nota,von_wobeser_es,von_wobeser_es_url,von_wobeser_en,von_wobeser_en_url,replit_es,replit_es_url,replit_en,replit_en_url,comparacion,estado_enlaces,enlaces_rotos,contenido_incompatible,referencia
2026-05,noticia,Impacto en México de la Estrategia Antidrogas 2026 de EUA y el nuevo paradigma de cumplimiento comercial y financiero ligado a seguridad nacional,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2001,si,https://www.vonwobeser.com/index.php/publication?p_id=2002,si,https://webpage-von-wobeser-2026.replit.app/news/impacto-en-mexico-de-la-estrategia-antidrogas-2026-de-eua-y-el-nuevo-paradigma-d,si,https://webpage-von-wobeser-2026.replit.app/news/impact-in-mexico-of-the-u-s-2026-anti-drug-strategy-and-the-new-trade-and-financ?lang=en,En ambas,OK,0,0,p_id ES 2001 | p_id EN 2002
2026-04,noticia,Se expide la ley para el fomento de la inversión en infraestructura estratégica para el desarrollo con bienestar,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2011,si,https://www.vonwobeser.com/index.php/publication?p_id=2014,si,https://webpage-von-wobeser-2026.replit.app/news/se-expide-la-ley-para-el-fomento-de-la-inversion-en-infraestructura-estrategica-,si,https://webpage-von-wobeser-2026.replit.app/news/the-law-to-promote-investment-in-strategic-infrastructure-for-development-with-w?lang=en,En ambas,OK,0,0,p_id ES 2011 | p_id EN 2014
2026-04,noticia,Reformas a la Ley Federal de Protección a la Propiedad Industrial,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2019,si,https://www.vonwobeser.com/index.php/publication?p_id=2020,si,https://webpage-von-wobeser-2026.replit.app/news/reformas-a-la-ley-federal-de-proteccion-a-la-propiedad-industrial,si,https://webpage-von-wobeser-2026.replit.app/news/amendments-to-the-federal-law-for-the-protection-of-industrial-property?lang=en,En ambas,OK,0,0,p_id ES 2019 | p_id EN 2020
2026-04,noticia,Publicación del Reglamento de la Ley Federal de Protección a la Propiedad Industrial,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2007,si,https://www.vonwobeser.com/index.php/publication?p_id=2008,si,https://webpage-von-wobeser-2026.replit.app/news/publicacion-del-reglamento-de-la-ley-federal-de-proteccion-a-la-propiedad-indust,si,https://webpage-von-wobeser-2026.replit.app/news/publication-of-the-regulations-of-the-federal-law-on-the-protection-of-industria?lang=en,En ambas,OK,0,0,p_id ES 2007 | p_id EN 2008
2026-04,noticia,Oportunidades de inversión en el Sector Eléctrico proyectos de transmisión y transformación - esquemas para el desarrollo mixto,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2034,si,https://www.vonwobeser.com/index.php/publication?p_id=2033,si,https://webpage-von-wobeser-2026.replit.app/news/oportunidades-de-inversion-en-el-sector-electrico-proyectos-de-transmision-y-tra,si,https://webpage-von-wobeser-2026.replit.app/news/investment-opportunities-in-the-electricity-sector-transmission-and-transformati?lang=en,En ambas,OK,0,0,p_id ES 2034 | p_id EN 2033
2026-04,noticia,Nuevas disposiciones de la CNE regulan la integración de sistemas de almacenamiento de energía eléctrica al Sistema Eléctrico Nacional,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2009,si,https://www.vonwobeser.com/index.php/publication?p_id=2010,si,https://webpage-von-wobeser-2026.replit.app/news/nuevas-disposiciones-de-la-cne-regulan-la-integracion-de-sistemas-de-almacenamie,si,https://webpage-von-wobeser-2026.replit.app/news/new-cne-provisions-regulate-the-integration-of-electric-energy-storage-systems-i?lang=en,En ambas,OK,0,0,p_id ES 2009 | p_id EN 2010
2026-04,noticia,"México emite nuevas disposiciones administrativas para los mecanismos competitivos de CENACE en la adquisición de electricidad, capacidad, servicios conexos, productos asociados y el CENACE publica la primera Convocatoria",si,https://www.vonwobeser.com/index.php/publicacion?p_id=2027,si,https://www.vonwobeser.com/index.php/publication?p_id=2028,si,https://webpage-von-wobeser-2026.replit.app/news/mexico-emite-nuevas-disposiciones-administrativas-para-los-mecanismos-competitiv,si,https://webpage-von-wobeser-2026.replit.app/news/mexico-issues-new-administrative-provisions-for-cenace-competitive-procurement-m?lang=en,En ambas,OK,0,0,p_id ES 2027 | p_id EN 2028
2026-04,noticia,La Secretaría de Energía emite los lineamientos para la Migración Voluntaria de Permisos de Producción Independiente de Energía Eléctrica,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2021,si,https://www.vonwobeser.com/index.php/publication?p_id=2024,si,https://webpage-von-wobeser-2026.replit.app/news/la-secretaria-de-energia-emite-los-lineamientos-para-la-migracion-voluntaria-de-,si,https://webpage-von-wobeser-2026.replit.app/news/the-ministry-of-energy-issues-guidelines-for-the-voluntary-migration-of-independ?lang=en,En ambas,OK,0,0,p_id ES 2021 | p_id EN 2024
2026-04,noticia,Decreto por el que se reforma el artículo 141 del Código Fiscal de la Federación,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2022,si,https://www.vonwobeser.com/index.php/publication?p_id=2023,si,https://webpage-von-wobeser-2026.replit.app/news/decreto-por-el-que-se-reforma-el-articulo-141-del-codigo-fiscal-de-la-federacion,si,https://webpage-von-wobeser-2026.replit.app/news/decree-amending-article-141-of-the-federal-tax-code?lang=en,En ambas,OK,0,0,p_id ES 2022 | p_id EN 2023
2026-04,noticia,"Client Alert: Reforma a la Ley General en Materia de Desaparición Forzada de Personas, Desaparición Cometida por Particulares y del Sistema Nacional de Búsqueda de Personas (“LDP”); obligación de Interconexión con la Plataforma Única de Identidad (“PUI”)",si,https://www.vonwobeser.com/index.php/publicacion?p_id=2016,si,https://www.vonwobeser.com/index.php/publication?p_id=2017,si,https://webpage-von-wobeser-2026.replit.app/news/client-alert-reforma-a-la-ley-general-en-materia-de-desaparicion-forzada-de-pers,si,https://webpage-von-wobeser-2026.replit.app/news/client-alert-amendment-to-the-general-law-on-forced-disappearance-of-persons-dis?lang=en,En ambas,OK,0,0,p_id ES 2016 | p_id EN 2017
2026-04,noticia,Bloqueo de Cuentas por UIF Constitucional: La sentencia de la SCJN recuerda a los empresarios que sus programas de cumplimiento son clave para evitar las medidas de la UIF,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2025,si,https://www.vonwobeser.com/index.php/publication?p_id=2026,si,https://webpage-von-wobeser-2026.replit.app/news/bloqueo-de-cuentas-por-uif-constitucional-la-sentencia-de-la-scjn-recuerda-a-los,si,https://webpage-von-wobeser-2026.replit.app/news/freezing-of-accounts-by-the-uif-is-constitutional-the-scjn-ruling-reminds-busine?lang=en,En ambas,OK,0,0,p_id ES 2025 | p_id EN 2026
2026-03,noticia,Tribunal declara inconstitucional política de Pemex que restringía contratos con empresas en litigio,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2031,si,https://www.vonwobeser.com/index.php/publication?p_id=2032,si,https://webpage-von-wobeser-2026.replit.app/news/tribunal-declara-inconstitucional-politica-de-pemex-que-restringia-contratos-con,si,https://webpage-von-wobeser-2026.replit.app/news/a-collegiate-court-declared-that-pemex-s-policy-restricting-contracts-with-compa?lang=en,En ambas,OK,0,0,p_id ES 2031 | p_id EN 2032
2026-03,noticia,Reforma Constitucional: Reducción de la Jornada Laboral.,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2038,si,https://www.vonwobeser.com/index.php/publication?p_id=2037,si,https://webpage-von-wobeser-2026.replit.app/news/reforma-constitucional-reduccion-de-la-jornada-laboral,si,https://webpage-von-wobeser-2026.replit.app/news/constitutional-reform-to-reduce-the-workweek?lang=en,En ambas,OK,0,0,p_id ES 2038 | p_id EN 2037
2026-03,noticia,Nuevo modelo de contrato de Interconexión y Conexión: cambios estructurales que permiten nuevos esquemas en el sector eléctrico,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2035,si,https://www.vonwobeser.com/index.php/publication?p_id=2036,si,https://webpage-von-wobeser-2026.replit.app/news/nuevo-modelo-de-contrato-de-interconexion-y-conexion-cambios-estructurales-que-p,si,https://webpage-von-wobeser-2026.replit.app/news/new-interconnection-and-connection-contract-model-structural-changes-enabling-ne?lang=en,En ambas,OK,0,0,p_id ES 2035 | p_id EN 2036
2026-03,noticia,Client Alert: Reforma al Reglamento de la Ley Antilavado (LFPIORPI),si,https://www.vonwobeser.com/index.php/publicacion?p_id=2029,si,https://www.vonwobeser.com/index.php/publication?p_id=2030,si,https://webpage-von-wobeser-2026.replit.app/news/client-alert-reforma-al-reglamento-de-la-ley-antilavado-lfpiorpi,si,https://webpage-von-wobeser-2026.replit.app/news/client-alert-amendment-to-the-regulations-of-the-anti-money-laundering-law-aml-l?lang=en,En ambas,OK,0,0,p_id ES 2029 | p_id EN 2030
2026-02,noticia,Se otorga un estímulo fiscal mediante crédito fiscal transferible a la producción cinematográfica y audiovisual en México,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2039,si,https://www.vonwobeser.com/index.php/publication?p_id=2040,si,https://webpage-von-wobeser-2026.replit.app/news/se-otorga-un-estimulo-fiscal-mediante-credito-fiscal-transferible-a-la-produccio,si,https://webpage-von-wobeser-2026.replit.app/news/a-tax-incentive-is-granted-through-a-transferable-tax-credit-to-film-and-audiovi?lang=en,En ambas,OK,0,0,p_id ES 2039 | p_id EN 2040
2026-02,noticia,"La Comisión Federal de Electricidad Emite los “Lineamientos de los Esquemas para el Desarrollo Mixto de la Empresa Pública del Estado, Comisión Federal de Electricidad”",si,https://www.vonwobeser.com/index.php/publicacion?p_id=2041,si,https://www.vonwobeser.com/index.php/publication?p_id=2042,si,https://webpage-von-wobeser-2026.replit.app/news/la-comision-federal-de-electricidad-emite-los-lineamientos-de-los-esquemas-para-,si,https://webpage-von-wobeser-2026.replit.app/news/the-federal-electricity-commission-issues-the-guidelines-for-mixed-development-s?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 2041 | p_id EN 2042
2026-01,noticia,Nuevos Valores de la UMA vigentes a partir del 1º de febrero de 2026,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2047,si,https://www.vonwobeser.com/index.php/publication?p_id=2048,si,https://webpage-von-wobeser-2026.replit.app/news/nuevos-valores-de-la-uma-vigentes-a-partir-del-1-de-febrero-de-2026,si,https://webpage-von-wobeser-2026.replit.app/news/new-uma-values-effective-as-of-february-1st-2026?lang=en,En ambas,OK,0,0,p_id ES 2047 | p_id EN 2048
2026-01,noticia,Nuevo marco jurídico para impulsar la Economía Circular en México,si,https://www.vonwobeser.com/index.php/publicacion?p_id=2043,si,https://www.vonwobeser.com/index.php/publication?p_id=2044,si,https://webpage-von-wobeser-2026.replit.app/news/nuevo-marco-juridico-para-impulsar-la-economia-circular-en-mexico,si,https://webpage-von-wobeser-2026.replit.app/news/mexico-s-new-legal-framework-for-promoting-a-circular-economy?lang=en,En ambas,OK,0,0,p_id ES 2043 | p_id EN 2044
2026-01,noticia,"Nuevas Obligaciones para Empleadores: Igualdad de Género, Prevención y erradicación de la Discriminación y la Violencia",si,https://www.vonwobeser.com/index.php/publicacion?p_id=2045,si,https://www.vonwobeser.com/index.php/publication?p_id=2046,si,https://webpage-von-wobeser-2026.replit.app/news/nuevas-obligaciones-para-empleadores-igualdad-de-genero-prevencion-y-erradicacio,si,https://webpage-von-wobeser-2026.replit.app/news/new-obligations-for-employers-gender-equality-and-the-prevention-and-eradication?lang=en,En ambas,OK,0,0,p_id ES 2045 | p_id EN 2046
2025-12,noticia,"Von Wobeser fortalece sus prácticas de disputas, competencia económica, fiscal y compliance con el nombramiento de cuatro nuevos socios",si,https://www.vonwobeser.com/index.php/publicacion?p_id=1993,si,https://www.vonwobeser.com/index.php/publication?p_id=1994,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-fortalece-sus-practicas-de-disputas-competencia-economica-fiscal-y-c,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-bolsters-its-dispute-resolution-antitrust-tax-and-compliance-practic?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 1993 | p_id EN 1994
2025-11,noticia,Von Wobeser y Sierra completa transición a sus nuevas oficinas: una inversión estratégica en el futuro de la firma,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1991,si,https://www.vonwobeser.com/index.php/publication?p_id=1992,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-y-sierra-completa-transicion-a-sus-nuevas-oficinas-una-inversion-est,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-y-sierra-completes-transition-to-new-offices-a-strategic-investment-?lang=en,En ambas | revisar texto,OK,0,0,p_id ES 1991 | p_id EN 1992
2025-07,noticia,Ley Silla - Disposiciones sobre los factores de Riesgo de Trabajo,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1983,si,https://www.vonwobeser.com/index.php/publication?p_id=1984,si,https://webpage-von-wobeser-2026.replit.app/news/ley-silla-disposiciones-sobre-los-factores-de,si,https://webpage-von-wobeser-2026.replit.app/news/chair-law-provisions-in-occupational-risk-factors?lang=en,En ambas,OK,0,0,p_id ES 1983 | p_id EN 1984
2025-07,noticia,Flash News: Reforma a la Ley Antilavado (LFPIORPI) y Código Penal Federal,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1981,si,https://www.vonwobeser.com/index.php/publication?p_id=1982,si,https://webpage-von-wobeser-2026.replit.app/news/flash-news-reforma-a-la-ley-antilavado-lfpiorpi-y-codigo-penal-federal,si,https://webpage-von-wobeser-2026.replit.app/news/flash-news-reform-to-mexico-s-anti-money-laundering-law-lfpiorpi-and-the-federal?lang=en,En ambas,OK,0,0,p_id ES 1981 | p_id EN 1982
2025-07,noticia,Actualizaciones Regulatorias en el Sector de Hidrocarburos,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1985,si,https://www.vonwobeser.com/index.php/publication?p_id=1986,si,https://webpage-von-wobeser-2026.replit.app/news/actualizaciones-regulatorias-en-el-sector-de,si,https://webpage-von-wobeser-2026.replit.app/news/actualizaciones-regulatorias-en-el-sector-de?lang=en,En ambas,OK,0,0,p_id ES 1985 | p_id EN 1986
2025-06,noticia,Simplificación y mejora regulatoria de trámites en materia de PLD,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1977,si,https://www.vonwobeser.com/index.php/publication?p_id=1978,si,https://webpage-von-wobeser-2026.replit.app/news/simplificacion-y-mejora-regulatoria-de,si,https://webpage-von-wobeser-2026.replit.app/news/regulatory-simplification-of-aml-filings-and-procedures?lang=en,En ambas,OK,0,0,p_id ES 1977 | p_id EN 1978
2025-06,noticia,Se reanudan actividades: se publican plazos y términos oficiales de la Comisión Nacional de Energía,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1979,si,https://www.vonwobeser.com/index.php/publication?p_id=1980,si,https://webpage-von-wobeser-2026.replit.app/news/se-reanudan-actividades-se-publican-plazos-y-terminos-oficiales-de-la-comision-n,si,https://webpage-von-wobeser-2026.replit.app/news/national-energy-commission-resumes-activities-official-deadlines-and-timeframes-?lang=en,En ambas,OK,0,0,p_id ES 1979 | p_id EN 1980
2025-05,noticia,Se Otorgan Estímulos Fiscales a Contribuyentes que Operen dentro de los Polos de Desarrollo Económico para el Bienestar,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1960,si,https://www.vonwobeser.com/index.php/publication?p_id=1959,si,https://webpage-von-wobeser-2026.replit.app/news/tax-incentives-granted-to-taxpayers-operating-within-the-economic-development-hu,si,https://webpage-von-wobeser-2026.replit.app/news/tax-incentives-granted-to-taxpayers-operating-within-the-economic-development-hu?lang=en,En ambas,OK,0,0,p_id ES 1960 | p_id EN 1959
2025-05,noticia,Reforma sobre Ley de Obras Públicas y Servicios Relacionados con las Mismas,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1962,si,https://www.vonwobeser.com/index.php/publication?p_id=1961,si,https://webpage-von-wobeser-2026.replit.app/news/reforma-sobre-ley-de-obras-publicas-y-servicios-relacionados-con-las-mismas,si,https://webpage-von-wobeser-2026.replit.app/news/new-reform-to-the-public-works-and-related-services-law?lang=en,En ambas,OK,0,0,p_id ES 1962 | p_id EN 1961
2025-05,noticia,"Nueva Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público.",si,https://www.vonwobeser.com/index.php/publicacion?p_id=1987,si,https://www.vonwobeser.com/index.php/publication?p_id=1988,si,https://webpage-von-wobeser-2026.replit.app/news/nueva-ley-de-adquisiciones-arrendamientos-y-servicios-del-sector-publico,si,https://webpage-von-wobeser-2026.replit.app/news/new-public-procurement-leasing-and-service-law?lang=en,En ambas,OK,0,0,p_id ES 1987 | p_id EN 1988
2025-04,noticia,Se publica iniciativa de reforma a la Ley Federal de Competencia Económica,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1975,si,https://www.vonwobeser.com/index.php/publication?p_id=1976,si,https://webpage-von-wobeser-2026.replit.app/news/se-publica-iniciativa-de-reforma-a-la-ley,si,https://webpage-von-wobeser-2026.replit.app/news/bill-to-amend-the-federal-economic-competition-law-is-introduced?lang=en,En ambas,OK,0,0,p_id ES 1975 | p_id EN 1976
2025-04,noticia,Nueva Declaración Informativa sobre Ocupación de Inmuebles Habitacionales en la Ciudad de México,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1973,si,https://www.vonwobeser.com/index.php/publication?p_id=1974,si,https://webpage-von-wobeser-2026.replit.app/news/nueva-declaracion-informativa-sobre,si,https://webpage-von-wobeser-2026.replit.app/news/new-informative-return-on-the-occupancy-status-of-residential-properties-in-mexi?lang=en,En ambas,OK,0,0,p_id ES 1973 | p_id EN 1974
2025-03,noticia,Nuevas Leyes en materia de Transparencia y Protección de Datos Personales en México,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1971,si,https://www.vonwobeser.com/index.php/publication?p_id=1972,si,https://webpage-von-wobeser-2026.replit.app/news/new-laws-on-transparency-and-protection-of-personal-data-in-mexico,si,https://webpage-von-wobeser-2026.replit.app/news/new-laws-on-transparency-and-protection-of-personal-data-in-mexico?lang=en,En ambas,OK,0,0,p_id ES 1971 | p_id EN 1972
2025-03,noticia,Nuevas Leyes Secundarias para el Sector Eléctrico (Segunda Parte),si,https://www.vonwobeser.com/index.php/publicacion?p_id=1967,si,https://www.vonwobeser.com/index.php/publication?p_id=1968,si,https://webpage-von-wobeser-2026.replit.app/news/new-secondary-laws-for-the-electricity-sector-part-two,si,https://webpage-von-wobeser-2026.replit.app/news/new-secondary-laws-for-the-electricity-sector-part-two?lang=en,En ambas,OK,0,0,p_id ES 1967 | p_id EN 1968
2025-03,noticia,Nuevas Leyes Secundarias Modifican el Sector Energético en México,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1957,si,https://www.vonwobeser.com/index.php/publication?p_id=1958,si,https://webpage-von-wobeser-2026.replit.app/news/nuevas-leyes-secundarias-modifican-el,si,https://webpage-von-wobeser-2026.replit.app/news/new-secondary-laws-overhaul-mexico-s-energy-sector?lang=en,En ambas,OK,0,0,p_id ES 1957 | p_id EN 1958
2025-03,noticia,Implicaciones Fiscales de las Recientes Invitaciones del SAT sobre Subcontratación Y REPSE,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1965,si,https://www.vonwobeser.com/index.php/publication?p_id=1966,si,https://webpage-von-wobeser-2026.replit.app/news/implicaciones-fiscales-de-las-recientes,si,https://webpage-von-wobeser-2026.replit.app/news/implicaciones-fiscales-de-las-recientes?lang=en,En ambas,OK,0,0,p_id ES 1965 | p_id EN 1966
2025-03,noticia,Entran en vigor Disposiciones para la integración de Sistemas de Almacenamiento de Energía Eléctrica al Sistema Eléctrico Nacional.,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1963,si,https://www.vonwobeser.com/index.php/publication?p_id=1964,si,https://webpage-von-wobeser-2026.replit.app/news/entran-en-vigor-disposiciones-para-la,si,https://webpage-von-wobeser-2026.replit.app/news/new-provisions-for-the-integration-of-electric-energy-storage-systems-into-the-n?lang=en,En ambas,OK,0,0,p_id ES 1963 | p_id EN 1964
2025-03,noticia,Criterio emitido por el Instituto del Fondo Nacional de la Vivienda para los Trabajadores respecto de la Reforma al Artículo 29 de la Ley del INFONAVIT,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1969,si,https://www.vonwobeser.com/index.php/publication?p_id=1970,si,https://webpage-von-wobeser-2026.replit.app/news/criterio-emitido-por-el-instituto-del,si,https://webpage-von-wobeser-2026.replit.app/news/criterio-emitido-por-el-instituto-del?lang=en,En ambas,OK,0,0,p_id ES 1969 | p_id EN 1970
2025-02,noticia,Von Wobeser y Sierra anuncia transición de liderazgo y cambios en su Comité Ejecutivo,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1932,si,https://www.vonwobeser.com/index.php/publication?p_id=1931,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-y-sierra-anuncia-transicion-de-liderazgo-y-cambios-en-su-comite-ejec,si,https://webpage-von-wobeser-2026.replit.app/news/von-wobeser-y-sierra-announces-leadership-transition-and-changes-to-its-executiv?lang=en,En ambas,OK,0,0,p_id ES 1932 | p_id EN 1931
2025-02,noticia,Se publica iniciativa de Ley Federal Antimonopolio y de Competencia Económica,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1951,si,https://www.vonwobeser.com/index.php/publication?p_id=1952,si,https://webpage-von-wobeser-2026.replit.app/news/se-publica-iniciativa-de-ley-federal-antimonopolio-y-de-competencia-economica,si,https://webpage-von-wobeser-2026.replit.app/news/bill-on-the-federal-antitrust-and-economic-competition-law-is-introduced?lang=en,En ambas,OK,0,0,p_id ES 1951 | p_id EN 1952
2025-02,noticia,Publicación de Criterio sobre Responsabilidad Penal de Personas Morales.,si,https://www.vonwobeser.com/index.php/publicacion?p_id=1953,si,https://www.vonwobeser.com/index.php/publication?p_id=1954,si,https://webpage-von-wobeser-2026.replit.app/news/publicacion-de-criterio-sobre,si,https://webpage-von-wobeser-2026.replit.app/news/issuance-of-a-ruling-on-criminal-liability-of-legal-entities?lang=en,En ambas,OK,0,0,p_id ES 1953 | p_id EN 1954
